"","province","date","total_imports","usa_imports","non_usa_imports","pct_usa","pct_non_usa","us_food_cpi","us_core_cpi","usd_cad","food_cpi","nfne_cpi","energy_cpi","log_usa_imports"
"1","Alberta",2017-01-01,125218,68782,56436,54.9298024245715,45.0701975754285,237.072,250.467,1.3193,139.9,134.1,159.5,11.1387119003657
"2","Alberta",2017-02-01,115650,61975,53675,53.5884133160398,46.4115866839602,237.824,250.998,1.3107,140.6,134.7,146.1,11.0345024923117
"3","Alberta",2017-03-01,157190,99761,57429,63.4652331573255,36.5347668426745,238.387,250.944,1.3386,141.2,135,141.8,11.5105426282684
"4","Alberta",2017-04-01,146623,91370,55253,62.3162805289757,37.6837194710243,238.568,251.227,1.344,140.4,134.9,154.1,11.4226834204441
"5","Alberta",2017-05-01,161052,110778,50274,68.7839952313538,31.2160047686462,238.893,251.43,1.3607,142,135.1,145.4,11.6152925046462
"6","Alberta",2017-06-01,156125,114227,41898,73.1638110488391,26.8361889511609,238.494,251.746,1.3298,142.3,134.9,142,11.6459517300393
"7","Alberta",2017-07-01,126772,96944,29828,76.4711450478024,23.5288549521976,238.904,251.985,1.2689,142.8,134.6,145.8,11.4818990863651
"8","Alberta",2017-08-01,110355,81252,29103,73.6278374337366,26.3721625662634,238.804,252.535,1.2605,143.1,134.6,150.7,11.3053230225873
"9","Alberta",2017-09-01,114708,87430,27278,76.219618509607,23.780381490393,238.852,252.812,1.2283,142.1,134.5,147.9,11.3786051898311
"10","Alberta",2017-10-01,152731,116575,36156,76.3270063052033,23.6729936947967,239.02,253.526,1.2605,141.3,135.4,149.4,11.6662986998083
"11","Alberta",2017-11-01,162601,117120,45481,72.0290773119477,27.9709226880523,238.94,253.816,1.2769,142.6,135.4,159.4,11.6709628674101
"12","Alberta",2017-12-01,136496,87287,49209,63.9483940921346,36.0516059078654,239.371,254.344,1.2771,142.2,134.7,156.2,11.3769682753349
"13","Alberta",2018-01-01,132551,73210,59341,55.2315712442758,44.7684287557242,239.854,255.204,1.2427,143.7,135.4,164.3,11.2011009618836
"14","Alberta",2018-02-01,118298,70255,48043,59.388155336523,40.611844663477,239.187,255.711,1.2586,143,136.6,164,11.1599009928015
"15","Alberta",2018-03-01,146629,89999,56630,61.3787177161407,38.6212822838593,239.149,256.271,1.2932,143.1,136.7,164.5,11.4075649493124
"16","Alberta",2018-04-01,149880,91729,58151,61.2016279690419,38.7983720309581,239.541,256.63,1.2733,142.7,136.6,178.9,11.4266047585037
"17","Alberta",2018-05-01,156452,110021,46431,70.3225270370465,29.6774729629535,238.884,257.145,1.2873,143,137,175.4,11.6084356247772
"18","Alberta",2018-06-01,155506,113256,42250,72.8306303293764,27.1693696706236,239.048,257.399,1.3129,143.2,137.2,172,11.6374148515896
"19","Alberta",2018-07-01,127297,98583,28714,77.4433018845692,22.5566981154308,239.565,257.699,1.313,144,137.7,183.2,11.498664255618
"20","Alberta",2018-08-01,111795,86371,25424,77.2583747036987,22.7416252963013,239.795,257.891,1.3041,144.5,137.6,179.6,11.3664188281947
"21","Alberta",2018-09-01,127724,101635,26089,79.573925025837,20.426074974163,239.967,258.368,1.3037,144.4,136.9,180,11.5291530820749
"22","Alberta",2018-10-01,158325,123367,34958,77.9201010579504,22.0798989420496,239.558,258.917,1.301,144.5,137.6,175.3,11.7229270375375
"23","Alberta",2018-11-01,157032,114205,42827,72.7272148351928,27.2727851648072,240.227,259.439,1.32,145.3,137.1,168.3,11.6457591142285
"24","Alberta",2018-12-01,150233,95305,54928,63.4381261107746,36.5618738892254,241.137,260.063,1.3432,145.6,137.5,159.6,11.4648480467371
"25","Alberta",2019-01-01,159134,98154,60980,61.6800935061018,38.3199064938982,241.581,260.766,1.3301,146.8,137.4,157.7,11.4943031408421
"26","Alberta",2019-02-01,124274,68343,55931,54.9938040137116,45.0061959862884,242.111,261.186,1.3206,147.8,138.5,164.2,11.1323090548315
"27","Alberta",2019-03-01,178908,108216,70692,60.4869541887451,39.5130458112549,242.482,261.567,1.3368,148.2,138.9,176.1,11.591893749504
